Start_date,End_date,US,Canada,Mexico,United Kingdom,China,India,Argentina,Australia,Brazil,Germany,Israel,Italy,Japan,Spain,Sweden
2020-03-29,2020-04-04,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0
2020-04-05,2020-04-11,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1
2020-04-12,2020-04-18,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0
2020-04-19,2020-04-25,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
2020-04-26,2020-05-02,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1
2020-05-03,2020-05-09,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2020-05-10,2020-05-16,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0
2020-05-17,2020-05-23,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2020-05-24,2020-05-30,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
2020-05-31,2020-06-06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2020-06-07,2020-06-13,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2020-06-14,2020-06-20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2020-06-21,2020-06-27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-06-28,2020-07-04,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-07-05,2020-07-11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-07-12,2020-07-18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-07-19,2020-07-25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-07-26,2020-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-02,2020-08-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-09,2020-08-15,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0
2020-08-16,2020-08-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-23,2020-08-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,2020-09-05,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-09-06,2020-09-12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-09-13,2020-09-19,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2020-09-20,2020-09-26,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2020-09-27,2020-10-03,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2020-10-04,2020-10-10,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
2020-10-11,2020-10-17,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
2020-10-18,2020-10-24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-10-25,2020-10-31,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
2020-11-01,2020-11-07,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1
2020-11-08,2020-11-14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-15,2020-11-21,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2020-11-22,2020-11-28,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
2020-11-29,2020-12-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-06,2020-12-12,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0
2020-12-13,2020-12-19,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
2020-12-20,2020-12-26,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0
2020-12-27,2021-01-02,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1
2021-01-03,2021-01-09,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0